# command: ./l2 --stride random --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
# buffer_elems: 1572864
# stride_bytes: 0
# cycle_length: 1572864
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
l2,0,0,0,32,16384,6291456,0,42,20,5571250,2316640,340.0421,141.3965,2.4049
l2,0,0,0,32,16384,6291456,0,42,21,5576031,2318624,340.3339,141.5176,2.4049
l2,0,0,0,32,16384,6291456,0,42,22,5570922,2316512,340.0221,141.3887,2.4049
l2,0,0,0,32,16384,6291456,0,42,23,5571713,2316832,340.0704,141.4082,2.4049
l2,0,0,0,32,16384,6291456,0,42,24,5567395,2315008,339.8068,141.2969,2.4049
l2,0,0,0,32,16384,6291456,0,42,25,5575412,2318368,340.2961,141.5020,2.4049
l2,0,0,0,32,16384,6291456,0,42,26,5574865,2318112,340.2628,141.4863,2.4049
l2,0,0,0,32,16384,6291456,0,42,27,5572430,2317120,340.1141,141.4258,2.4049
l2,0,0,0,32,16384,6291456,0,42,28,5573784,2317696,340.1968,141.4609,2.4049
l2,0,0,0,32,16384,6291456,0,42,29,5571189,2316672,340.0384,141.3984,2.4048
l2,0,0,0,32,16384,6291456,0,42,30,5568646,2315584,339.8832,141.3320,2.4049
l2,0,0,0,32,16384,6291456,0,42,31,5575171,2318304,340.2814,141.4980,2.4048
l2,0,0,0,32,16384,6291456,0,42,32,5572347,2317152,340.1091,141.4277,2.4048
l2,0,0,0,32,16384,6291456,0,42,33,5570894,2316512,340.0204,141.3887,2.4049
l2,0,0,0,32,16384,6291456,0,42,34,5572125,2317024,340.0955,141.4199,2.4049
l2,0,0,0,32,16384,6291456,0,42,35,5571850,2316896,340.0787,141.4121,2.4049
l2,0,0,0,32,16384,6291456,0,42,36,5573865,2317728,340.2017,141.4629,2.4049
l2,0,0,0,32,16384,6291456,0,42,37,5571601,2316768,340.0635,141.4043,2.4049
l2,0,0,0,32,16384,6291456,0,42,38,5573717,2317696,340.1927,141.4609,2.4049
l2,0,0,0,32,16384,6291456,0,42,39,5569262,2315808,339.9208,141.3457,2.4049
l2,0,0,0,32,16384,6291456,0,42,40,5573908,2317760,340.2043,141.4648,2.4049
l2,0,0,0,32,16384,6291456,0,42,41,5575890,2318592,340.3253,141.5156,2.4049
l2,0,0,0,32,16384,6291456,0,42,42,5574682,2318048,340.2516,141.4824,2.4049
l2,0,0,0,32,16384,6291456,0,42,43,5570622,2316416,340.0038,141.3828,2.4048
l2,0,0,0,32,16384,6291456,0,42,44,5567708,2315232,339.8259,141.3105,2.4048
l2,0,0,0,32,16384,6291456,0,42,45,5571155,2316640,340.0363,141.3965,2.4048
l2,0,0,0,32,16384,6291456,0,42,46,5576237,2318752,340.3465,141.5254,2.4048
l2,0,0,0,32,16384,6291456,0,42,47,5576831,2319008,340.3828,141.5410,2.4048
l2,0,0,0,32,16384,6291456,0,42,48,5571055,2316576,340.0302,141.3926,2.4049
l2,0,0,0,32,16384,6291456,0,42,49,5574239,2317888,340.2245,141.4727,2.4049
l2,0,0,0,32,16384,6291456,0,42,50,5572767,2317280,340.1347,141.4355,2.4049
l2,0,0,0,32,16384,6291456,0,42,51,5574089,2317792,340.2154,141.4668,2.4049
l2,0,0,0,32,16384,6291456,0,42,52,5568870,2315648,339.8969,141.3359,2.4049
l2,0,0,0,32,16384,6291456,0,42,53,5570548,2316352,339.9993,141.3789,2.4049
l2,0,0,0,32,16384,6291456,0,42,54,5574488,2317984,340.2397,141.4785,2.4049
l2,0,0,0,32,16384,6291456,0,42,55,5569472,2315904,339.9336,141.3516,2.4049
l2,0,0,0,32,16384,6291456,0,42,56,5576839,2318976,340.3832,141.5391,2.4049
l2,0,0,0,32,16384,6291456,0,42,57,5571000,2316576,340.0269,141.3926,2.4048
l2,0,0,0,32,16384,6291456,0,42,58,5570415,2316288,339.9911,141.3750,2.4049
l2,0,0,0,32,16384,6291456,0,42,59,5573673,2317664,340.1900,141.4590,2.4049
l2,0,0,0,32,16384,6291456,0,42,60,5572722,2317280,340.1320,141.4355,2.4049
l2,0,0,0,32,16384,6291456,0,42,61,5574726,2318080,340.2543,141.4844,2.4049
